id,artist,top_genre,year,bpm_tempo,energy,danceability,decibel,live,length,acoustic,speechiness,popular,positive
318,Sigala,dance pop,2015,1,1,1,1,12,1,18,1,67,positive
319,Justin Bieber,canadian pop,2015,1,1,0,0,10,1,8,1,67,negative
320,Carly Rae Jepsen,canadian pop,2015,1,1,0,1,22,0,1,0,66,positive
321,Fifth Harmony,dance pop,2015,0,1,1,1,5,0,1,1,66,positive
322,Maroon 5,pop,2015,1,1,1,0,9,1,6,0,66,positive
323,Ariana Grande,dance pop,2015,0,1,1,0,44,0,27,1,66,positive
324,Meghan Trainor,dance pop,2015,1,1,1,1,11,0,5,1,65,positive
325,Ellie Goulding,dance pop,2015,1,0,1,0,9,0,26,1,65,positive
326,Little Mix,dance pop,2015,0,0,1,1,28,0,21,0,65,positive
327,Avicii,big room,2015,0,0,0,0,10,1,5,1,65,negative
328,Jennifer Lopez,dance pop,2015,1,1,1,1,26,0,0,1,64,negative
329,Justin Bieber,canadian pop,2015,1,0,1,0,10,0,79,0,64,positive
330,Justin Bieber,canadian pop,2015,0,0,0,0,17,0,88,0,63,positive
331,Rudimental,dance pop,2015,1,1,1,0,19,1,14,0,62,negative
332,Rihanna,barbadian pop,2015,0,1,0,0,33,1,5,1,61,negative
333,Jessie J,australian pop,2015,1,1,1,1,38,0,27,1,61,positive
334,Lost Frequencies,belgian edm,2015,1,0,1,0,7,0,2,0,61,positive
335,Sia,australian dance,2015,0,1,0,1,11,1,25,1,61,negative
336,Robin Schulz,dance pop,2015,1,1,0,1,16,0,2,1,60,positive
337,Justin Bieber,canadian pop,2015,0,1,1,0,32,0,2,1,60,positive
338,Lilly Wood and The Prick,french indie pop,2015,1,1,1,1,62,0,2,0,58,positive
339,Wiz Khalifa,hip hop,2015,0,0,1,0,6,1,37,1,56,negative
340,Alesso,big room,2015,1,1,0,1,24,0,4,1,56,negative
341,Jennifer Lopez,dance pop,2015,1,0,0,0,9,1,33,1,55,negative
342,One Direction,boy band,2015,0,1,0,1,12,1,6,1,55,negative
343,Madonna,dance pop,2015,0,0,0,0,12,1,4,0,54,negative
344,David Guetta,dance pop,2015,0,1,0,1,10,0,5,1,54,positive
345,Ed Sheeran,pop,2015,0,0,0,0,6,1,20,1,52,negative
346,Madonna,dance pop,2015,1,1,1,1,25,0,4,1,52,negative
347,Gwen Stefani,dance pop,2015,0,0,1,1,10,0,1,0,52,negative
348,Jess Glynne,dance pop,2015,1,1,0,1,16,0,6,0,52,positive
349,One Direction,boy band,2015,0,1,0,0,14,1,0,0,51,positive
350,Pitbull,dance pop,2015,1,1,1,1,6,0,1,1,50,positive
351,Alicia Keys,hip pop,2015,0,0,0,0,8,1,43,0,49,negative
352,Florence + The Machine,art pop,2015,0,0,0,0,11,1,75,0,47,negative
353,David Guetta,dance pop,2015,1,1,0,1,33,1,2,0,46,negative
354,Pitbull,dance pop,2015,1,1,1,0,69,1,9,1,45,positive
355,Hilary Duff,dance pop,2015,1,1,1,1,10,0,4,1,44,positive
356,Ricky Martin,dance pop,2015,1,1,1,0,4,0,1,1,42,positive
357,Katy Perry,dance pop,2015,1,1,0,1,8,1,2,1,41,negative
