artist,top_genre,year,bpm_tempo,energy,danceability,decibel,live,length,acoustic,speechiness,popular,positive
Fifth Harmony,dance pop,2015,0,1,1,1,5,0,1,1,66,positive
Maroon 5,pop,2015,1,1,1,0,9,1,6,0,66,positive
Ariana Grande,dance pop,2015,0,1,1,0,44,0,27,1,66,positive
Meghan Trainor,dance pop,2015,1,1,1,1,11,0,5,1,65,positive
Ellie Goulding,dance pop,2015,1,0,1,0,9,0,26,1,65,positive
Little Mix,dance pop,2015,0,0,1,1,28,0,21,0,65,positive
Avicii,big room,2015,0,0,0,0,10,1,5,1,65,negative
Jennifer Lopez,dance pop,2015,1,1,1,1,26,0,0,1,64,negative
Justin Bieber,canadian pop,2015,1,0,1,0,10,0,79,0,64,positive
Justin Bieber,canadian pop,2015,0,0,0,0,17,0,88,0,63,positive
Rudimental,dance pop,2015,1,1,1,0,19,1,14,0,62,negative
Rihanna,barbadian pop,2015,0,1,0,0,33,1,5,1,61,negative
Jessie J,australian pop,2015,1,1,1,1,38,0,27,1,61,positive
Lost Frequencies,belgian edm,2015,1,0,1,0,7,0,2,0,61,positive
Sia,australian dance,2015,0,1,0,1,11,1,25,1,61,negative
Robin Schulz,dance pop,2015,1,1,0,1,16,0,2,1,60,positive
Justin Bieber,canadian pop,2015,0,1,1,0,32,0,2,1,60,positive
Lilly Wood and The Prick,french indie pop,2015,1,1,1,1,62,0,2,0,58,positive
Wiz Khalifa,hip hop,2015,0,0,1,0,6,1,37,1,56,negative
Alesso,big room,2015,1,1,0,1,24,0,4,1,56,negative
Jennifer Lopez,dance pop,2015,1,0,0,0,9,1,33,1,55,negative
One Direction,boy band,2015,0,1,0,1,12,1,6,1,55,negative
Madonna,dance pop,2015,0,0,0,0,12,1,4,0,54,negative
David Guetta,dance pop,2015,0,1,0,1,10,0,5,1,54,positive
Ed Sheeran,pop,2015,0,0,0,0,6,1,20,1,52,negative
Madonna,dance pop,2015,1,1,1,1,25,0,4,1,52,negative
Gwen Stefani,dance pop,2015,0,0,1,1,10,0,1,0,52,negative
Jess Glynne,dance pop,2015,1,1,0,1,16,0,6,0,52,positive
One Direction,boy band,2015,0,1,0,0,14,1,0,0,51,positive
Pitbull,dance pop,2015,1,1,1,1,6,0,1,1,50,positive
Alicia Keys,hip pop,2015,0,0,0,0,8,1,43,0,49,negative
Florence + The Machine,art pop,2015,0,0,0,0,11,1,75,0,47,negative
David Guetta,dance pop,2015,1,1,0,1,33,1,2,0,46,negative
Pitbull,dance pop,2015,1,1,1,0,69,1,9,1,45,positive
Hilary Duff,dance pop,2015,1,1,1,1,10,0,4,1,44,positive
Ricky Martin,dance pop,2015,1,1,1,0,4,0,1,1,42,positive
Katy Perry,dance pop,2015,1,1,0,1,8,1,2,1,41,negative
Gwen Stefani,dance pop,2015,1,1,1,1,20,0,8,1,39,positive
Kelly Clarkson,dance pop,2015,0,0,0,0,11,1,45,0,36,negative
Enrique Iglesias,dance pop,2015,0,1,1,1,6,1,1,1,34,positive
Jennifer Hudson,dance pop,2015,0,0,1,1,8,1,0,1,18,positive
Fergie,dance pop,2015,1,0,0,0,26,0,2,1,0,negative
